PUBLICATION DATE,FISCAL YEAR,MONTH,INFLOWS/OUTFLOWS,DESCRIPTION,AMOUNT,publication date,fiscal year,month,inflows/outflows,description,amount
20201020.0,2021.0,September,Inflows - Current,State Categorical Grants,762.0,,,,,,
20201020.0,2021.0,September,Inflows - Current,Other Categorical Grants,-172.0,,,,,,
20201020.0,2021.0,September,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,September,Inflows - Current,Miscellaneous Revenues,343.0,,,,,,
20201020.0,2021.0,September,Inflows - Current,Inter-Fund Revenues,47.0,,,,,,
20201020.0,2021.0,September,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,September,Inflows - Prior,Federal Categorical Grants,750.0,,,,,,
20201020.0,2021.0,September,Inflows - Prior,State Categorical Grants,813.0,,,,,,
20201020.0,2021.0,September,Inflows - Prior,Other Categorical Grants,413.0,,,,,,
20201020.0,2021.0,September,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,September,Inflows - Prior,Misc. Revenue/IFA,90.0,,,,,,
20201020.0,2021.0,September,Inflows - Capital,Capital Transfers,197.0,,,,,,
20201020.0,2021.0,September,Inflows - Capital,Federal And State,41.0,,,,,,
20201020.0,2021.0,September,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,September,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,September,Inflows - Other,Other Sources,315.0,,,,,,
20201020.0,2021.0,September,Outflows - Current,Personal Service,3641.0,,,,,,
20201020.0,2021.0,September,Outflows - Current,Other Than Personal Service,2708.0,,,,,,
20201020.0,2021.0,September,Outflows - Current,Debt Service,-9.0,,,,,,
20201020.0,2021.0,September,Outflows - Prior,Personal Service,48.0,,,,,,
20201020.0,2021.0,September,Outflows - Prior,Other Than Personal Service,2.0,,,,,,
20201020.0,2021.0,September,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,September,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,September,Outflows - Capital,City Disbursements,496.0,,,,,,
20201020.0,2021.0,September,Outflows - Capital,Federal and State,82.0,,,,,,
20201020.0,2021.0,September,Outflows - Other,Senior Colleges,180.0,,,,,,
20201020.0,2021.0,September,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,September,Balance,Beginning Balance,6379.0,,,,,,
20201020.0,2021.0,September,Balance,Ending Balance,7282.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,General Property Tax,885.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,Other Taxes,1790.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,Federal Categorical Grants,403.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,State Categorical Grants,303.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,Other Categorical Grants,111.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,Miscellaneous Revenues,522.0,,,,,,
20201020.0,2021.0,October,Inflows - Current,Inter-Fund Revenues,43.0,,,,,,
20201020.0,2021.0,October,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,October,Inflows - Prior,Federal Categorical Grants,234.0,,,,,,
20201020.0,2021.0,October,Inflows - Prior,State Categorical Grants,283.0,,,,,,
20201020.0,2021.0,October,Inflows - Prior,Other Categorical Grants,2.0,,,,,,
20201020.0,2021.0,October,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,October,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,October,Inflows - Capital,Capital Transfers,1193.0,,,,,,
20201020.0,2021.0,October,Inflows - Capital,Federal And State,80.0,,,,,,
20201020.0,2021.0,October,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,October,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,October,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,October,Outflows - Current,Personal Service,4511.0,,,,,,
20201020.0,2021.0,October,Outflows - Current,Other Than Personal Service,2825.0,,,,,,
20201020.0,2021.0,October,Outflows - Current,Debt Service,356.0,,,,,,
20201020.0,2021.0,October,Outflows - Prior,Personal Service,8.0,,,,,,
20201020.0,2021.0,October,Outflows - Prior,Other Than Personal Service,3.0,,,,,,
20201020.0,2021.0,October,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,October,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,October,Outflows - Capital,City Disbursements,681.0,,,,,,
20201020.0,2021.0,October,Outflows - Capital,Federal and State,103.0,,,,,,
20201020.0,2021.0,October,Outflows - Other,Senior Colleges,238.0,,,,,,
20201020.0,2021.0,October,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,October,Balance,Beginning Balance,7282.0,,,,,,
20201020.0,2021.0,October,Balance,Ending Balance,4406.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,General Property Tax,224.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,Other Taxes,1430.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,Federal Categorical Grants,431.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,State Categorical Grants,762.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,Other Categorical Grants,18.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,Miscellaneous Revenues,459.0,,,,,,
20201020.0,2021.0,November,Inflows - Current,Inter-Fund Revenues,31.0,,,,,,
20201020.0,2021.0,November,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,November,Inflows - Prior,Federal Categorical Grants,298.0,,,,,,
20201020.0,2021.0,November,Inflows - Prior,State Categorical Grants,243.0,,,,,,
20201020.0,2021.0,November,Inflows - Prior,Other Categorical Grants,2.0,,,,,,
20201020.0,2021.0,November,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,November,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,November,Inflows - Capital,Capital Transfers,880.0,,,,,,
20201020.0,2021.0,November,Inflows - Capital,Federal And State,197.0,,,,,,
20201020.0,2021.0,November,Inflows - Other,Senior Colleges,260.0,,,,,,
20201020.0,2021.0,November,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,November,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,November,Outflows - Current,Personal Service,3829.0,,,,,,
20201020.0,2021.0,November,Outflows - Current,Other Than Personal Service,2769.0,,,,,,
20201020.0,2021.0,November,Outflows - Current,Debt Service,35.0,,,,,,
20201020.0,2021.0,November,Outflows - Prior,Personal Service,12.0,,,,,,
20201020.0,2021.0,November,Outflows - Prior,Other Than Personal Service,149.0,,,,,,
20201020.0,2021.0,November,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,November,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,November,Outflows - Capital,City Disbursements,490.0,,,,,,
20201020.0,2021.0,November,Outflows - Capital,Federal and State,188.0,,,,,,
20201020.0,2021.0,November,Outflows - Other,Senior Colleges,238.0,,,,,,
20201020.0,2021.0,November,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,November,Balance,Beginning Balance,4406.0,,,,,,
20201020.0,2021.0,November,Balance,Ending Balance,1931.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,General Property Tax,6257.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,Other Taxes,3112.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,Federal Categorical Grants,345.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,State Categorical Grants,1187.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,Other Categorical Grants,16.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,Miscellaneous Revenues,434.0,,,,,,
20201020.0,2021.0,December,Inflows - Current,Inter-Fund Revenues,36.0,,,,,,
