PUBLICATION DATE,FISCAL YEAR,MONTH,INFLOWS/OUTFLOWS,DESCRIPTION,AMOUNT,publication date,fiscal year,month,inflows/outflows,description,amount
,,,,,,20220112.0,2022.0,May,Inflows - Current,Other Categorical Grants,56.0
,,,,,,20220112.0,2022.0,May,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220112.0,2022.0,May,Inflows - Current,Miscellaneous Revenues,339.0
,,,,,,20220112.0,2022.0,May,Inflows - Current,Inter-Fund Revenues,46.0
,,,,,,20220112.0,2022.0,May,Inflows - Prior,Taxes,0.0
,,,,,,20220112.0,2022.0,May,Inflows - Prior,Federal Categorical Grants,221.0
,,,,,,20220112.0,2022.0,May,Inflows - Prior,State Categorical Grants,44.0
,,,,,,20220112.0,2022.0,May,Inflows - Prior,Other Categorical Grants,1.0
,,,,,,20220112.0,2022.0,May,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220112.0,2022.0,May,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220112.0,2022.0,May,Inflows - Capital,Capital Transfers,1789.0
,,,,,,20220112.0,2022.0,May,Inflows - Capital,Federal And State,81.0
,,,,,,20220112.0,2022.0,May,Inflows - Other,Senior Colleges,0.0
,,,,,,20220112.0,2022.0,May,Inflows - Other,Holding Acct. & Other Adj.,0.0
,,,,,,20220112.0,2022.0,May,Inflows - Other,Other Sources,0.0
,,,,,,20220112.0,2022.0,May,Outflows - Current,Personal Service,4065.0
,,,,,,20220112.0,2022.0,May,Outflows - Current,Other Than Personal Service,3340.0
,,,,,,20220112.0,2022.0,May,Outflows - Current,Debt Service,112.0
,,,,,,20220112.0,2022.0,May,Outflows - Prior,Personal Service,23.0
,,,,,,20220112.0,2022.0,May,Outflows - Prior,Other Than Personal Service,222.0
,,,,,,20220112.0,2022.0,May,Outflows - Prior,Taxes,0.0
,,,,,,20220112.0,2022.0,May,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220112.0,2022.0,May,Outflows - Capital,City Disbursements,586.0
,,,,,,20220112.0,2022.0,May,Outflows - Capital,Federal and State,84.0
,,,,,,20220112.0,2022.0,May,Outflows - Other,Senior Colleges,207.0
,,,,,,20220112.0,2022.0,May,Outflows - Other,Other Uses,0.0
,,,,,,20220112.0,2022.0,May,Balance,Beginning Balance,5238.0
,,,,,,20220112.0,2022.0,May,Balance,Ending Balance,3622.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,General Property Tax,6966.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,Other Taxes,3757.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,Federal Categorical Grants,2293.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,State Categorical Grants,721.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,Other Categorical Grants,117.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,Miscellaneous Revenues,364.0
,,,,,,20220112.0,2022.0,June,Inflows - Current,Inter-Fund Revenues,53.0
,,,,,,20220112.0,2022.0,June,Inflows - Prior,Taxes,0.0
,,,,,,20220112.0,2022.0,June,Inflows - Prior,Federal Categorical Grants,211.0
,,,,,,20220112.0,2022.0,June,Inflows - Prior,State Categorical Grants,8.0
,,,,,,20220112.0,2022.0,June,Inflows - Prior,Other Categorical Grants,1.0
,,,,,,20220112.0,2022.0,June,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220112.0,2022.0,June,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220112.0,2022.0,June,Inflows - Capital,Capital Transfers,1440.0
,,,,,,20220112.0,2022.0,June,Inflows - Capital,Federal And State,496.0
,,,,,,20220112.0,2022.0,June,Inflows - Other,Senior Colleges,894.0
,,,,,,20220112.0,2022.0,June,Inflows - Other,Holding Acct. & Other Adj.,0.0
,,,,,,20220112.0,2022.0,June,Inflows - Other,Other Sources,0.0
,,,,,,20220112.0,2022.0,June,Outflows - Current,Personal Service,6767.0
,,,,,,20220112.0,2022.0,June,Outflows - Current,Other Than Personal Service,3707.0
,,,,,,20220112.0,2022.0,June,Outflows - Current,Debt Service,1023.0
,,,,,,20220112.0,2022.0,June,Outflows - Prior,Personal Service,66.0
,,,,,,20220112.0,2022.0,June,Outflows - Prior,Other Than Personal Service,308.0
,,,,,,20220112.0,2022.0,June,Outflows - Prior,Taxes,0.0
,,,,,,20220112.0,2022.0,June,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220112.0,2022.0,June,Outflows - Capital,City Disbursements,850.0
,,,,,,20220112.0,2022.0,June,Outflows - Capital,Federal and State,195.0
,,,,,,20220112.0,2022.0,June,Outflows - Other,Senior Colleges,255.0
,,,,,,20220112.0,2022.0,June,Outflows - Other,Other Uses,969.0
,,,,,,20220112.0,2022.0,June,Balance,Beginning Balance,3622.0
,,,,,,20220112.0,2022.0,June,Balance,Ending Balance,6803.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,General Property Tax,-79.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,Other Taxes,895.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,Federal Categorical Grants,8722.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,State Categorical Grants,4576.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,Other Categorical Grants,417.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,Unrestricted (Net Of Disall.),735.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,Miscellaneous Revenues,0.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Current,Inter-Fund Revenues,185.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Prior,Taxes,0.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Prior,Federal Categorical Grants,6806.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Prior,State Categorical Grants,2860.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Prior,Other Categorical Grants,802.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Prior,Misc. Revenue/IFA,-110.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Capital,Capital Transfers,942.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Capital,Federal And State,0.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Other,Senior Colleges,412.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Other,Holding Acct. & Other Adj.,-8.0
,,,,,,20220112.0,2022.0,Adjustments,Inflows - Other,Other Sources,0.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Current,Personal Service,4109.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Current,Other Than Personal Service,10240.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Current,Debt Service,32.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Prior,Personal Service,2767.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Prior,Other Than Personal Service,7366.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Prior,Taxes,0.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Prior,Disallowance Reserve,305.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Capital,City Disbursements,0.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Capital,Federal and State,0.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Other,Senior Colleges,26.0
,,,,,,20220112.0,2022.0,Adjustments,Outflows - Other,Other Uses,0.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,General Property Tax,6576.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,Other Taxes,808.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,Federal Categorical Grants,317.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,State Categorical Grants,554.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,Other Categorical Grants,42.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,Miscellaneous Revenues,757.0
,,,,,,20220211.0,2022.0,July,Inflows - Current,Inter-Fund Revenues,0.0
,,,,,,20220211.0,2022.0,July,Inflows - Prior,Taxes,1080.0
,,,,,,20220211.0,2022.0,July,Inflows - Prior,Federal Categorical Grants,337.0
,,,,,,20220211.0,2022.0,July,Inflows - Prior,State Categorical Grants,838.0
,,,,,,20220211.0,2022.0,July,Inflows - Prior,Other Categorical Grants,31.0
,,,,,,20220211.0,2022.0,July,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,July,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220211.0,2022.0,July,Inflows - Capital,Capital Transfers,259.0
,,,,,,20220211.0,2022.0,July,Inflows - Capital,Federal And State,98.0
,,,,,,20220211.0,2022.0,July,Inflows - Other,Senior Colleges,882.0
,,,,,,20220211.0,2022.0,July,Inflows - Other,Holding Acct. & Other Adj.,5.0
,,,,,,20220211.0,2022.0,July,Inflows - Other,Other Sources,419.0
,,,,,,20220211.0,2022.0,July,Outflows - Current,Personal Service,2140.0
,,,,,,20220211.0,2022.0,July,Outflows - Current,Other Than Personal Service,2710.0
,,,,,,20220211.0,2022.0,July,Outflows - Current,Debt Service,52.0
,,,,,,20220211.0,2022.0,July,Outflows - Prior,Personal Service,2579.0
,,,,,,20220211.0,2022.0,July,Outflows - Prior,Other Than Personal Service,1412.0
,,,,,,20220211.0,2022.0,July,Outflows - Prior,Taxes,103.0
,,,,,,20220211.0,2022.0,July,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220211.0,2022.0,July,Outflows - Capital,City Disbursements,698.0
,,,,,,20220211.0,2022.0,July,Outflows - Capital,Federal and State,70.0
,,,,,,20220211.0,2022.0,July,Outflows - Other,Senior Colleges,240.0
,,,,,,20220211.0,2022.0,July,Outflows - Other,Other Uses,0.0
,,,,,,20220211.0,2022.0,July,Balance,Beginning Balance,8469.0
,,,,,,20220211.0,2022.0,July,Balance,Ending Balance,11468.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,General Property Tax,188.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,Other Taxes,1599.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,Federal Categorical Grants,-78.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,State Categorical Grants,-89.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,Other Categorical Grants,136.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,Miscellaneous Revenues,513.0
,,,,,,20220211.0,2022.0,August,Inflows - Current,Inter-Fund Revenues,0.0
,,,,,,20220211.0,2022.0,August,Inflows - Prior,Taxes,308.0
,,,,,,20220211.0,2022.0,August,Inflows - Prior,Federal Categorical Grants,1014.0
,,,,,,20220211.0,2022.0,August,Inflows - Prior,State Categorical Grants,334.0
,,,,,,20220211.0,2022.0,August,Inflows - Prior,Other Categorical Grants,10.0
,,,,,,20220211.0,2022.0,August,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,August,Inflows - Prior,Misc. Revenue/IFA,110.0
,,,,,,20220211.0,2022.0,August,Inflows - Capital,Capital Transfers,112.0
,,,,,,20220211.0,2022.0,August,Inflows - Capital,Federal And State,-53.0
,,,,,,20220211.0,2022.0,August,Inflows - Other,Senior Colleges,0.0
,,,,,,20220211.0,2022.0,August,Inflows - Other,Holding Acct. & Other Adj.,2.0
,,,,,,20220211.0,2022.0,August,Inflows - Other,Other Sources,435.0
,,,,,,20220211.0,2022.0,August,Outflows - Current,Personal Service,3259.0
,,,,,,20220211.0,2022.0,August,Outflows - Current,Other Than Personal Service,3153.0
,,,,,,20220211.0,2022.0,August,Outflows - Current,Debt Service,0.0
,,,,,,20220211.0,2022.0,August,Outflows - Prior,Personal Service,1253.0
,,,,,,20220211.0,2022.0,August,Outflows - Prior,Other Than Personal Service,676.0
,,,,,,20220211.0,2022.0,August,Outflows - Prior,Taxes,295.0
,,,,,,20220211.0,2022.0,August,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220211.0,2022.0,August,Outflows - Capital,City Disbursements,941.0
,,,,,,20220211.0,2022.0,August,Outflows - Capital,Federal and State,62.0
,,,,,,20220211.0,2022.0,August,Outflows - Other,Senior Colleges,181.0
,,,,,,20220211.0,2022.0,August,Outflows - Other,Other Uses,0.0
,,,,,,20220211.0,2022.0,August,Balance,Beginning Balance,11468.0
,,,,,,20220211.0,2022.0,August,Balance,Ending Balance,6189.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,General Property Tax,1379.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,Other Taxes,4115.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,Federal Categorical Grants,590.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,State Categorical Grants,1232.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,Other Categorical Grants,32.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,Miscellaneous Revenues,381.0
,,,,,,20220211.0,2022.0,September,Inflows - Current,Inter-Fund Revenues,28.0
,,,,,,20220211.0,2022.0,September,Inflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,September,Inflows - Prior,Federal Categorical Grants,411.0
,,,,,,20220211.0,2022.0,September,Inflows - Prior,State Categorical Grants,154.0
,,,,,,20220211.0,2022.0,September,Inflows - Prior,Other Categorical Grants,33.0
,,,,,,20220211.0,2022.0,September,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,September,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220211.0,2022.0,September,Inflows - Capital,Capital Transfers,2401.0
,,,,,,20220211.0,2022.0,September,Inflows - Capital,Federal And State,38.0
,,,,,,20220211.0,2022.0,September,Inflows - Other,Senior Colleges,0.0
,,,,,,20220211.0,2022.0,September,Inflows - Other,Holding Acct. & Other Adj.,-6.0
,,,,,,20220211.0,2022.0,September,Inflows - Other,Other Sources,0.0
,,,,,,20220211.0,2022.0,September,Outflows - Current,Personal Service,3744.0
,,,,,,20220211.0,2022.0,September,Outflows - Current,Other Than Personal Service,3499.0
,,,,,,20220211.0,2022.0,September,Outflows - Current,Debt Service,-3.0
,,,,,,20220211.0,2022.0,September,Outflows - Prior,Personal Service,24.0
,,,,,,20220211.0,2022.0,September,Outflows - Prior,Other Than Personal Service,1.0
,,,,,,20220211.0,2022.0,September,Outflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,September,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220211.0,2022.0,September,Outflows - Capital,City Disbursements,523.0
,,,,,,20220211.0,2022.0,September,Outflows - Capital,Federal and State,46.0
,,,,,,20220211.0,2022.0,September,Outflows - Other,Senior Colleges,280.0
,,,,,,20220211.0,2022.0,September,Outflows - Other,Other Uses,61.0
,,,,,,20220211.0,2022.0,September,Balance,Beginning Balance,6189.0
,,,,,,20220211.0,2022.0,September,Balance,Ending Balance,8802.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,General Property Tax,900.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,Other Taxes,2212.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,Federal Categorical Grants,-168.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,State Categorical Grants,135.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,Other Categorical Grants,53.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,Miscellaneous Revenues,666.0
,,,,,,20220211.0,2022.0,October,Inflows - Current,Inter-Fund Revenues,17.0
,,,,,,20220211.0,2022.0,October,Inflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,October,Inflows - Prior,Federal Categorical Grants,909.0
,,,,,,20220211.0,2022.0,October,Inflows - Prior,State Categorical Grants,365.0
,,,,,,20220211.0,2022.0,October,Inflows - Prior,Other Categorical Grants,2.0
,,,,,,20220211.0,2022.0,October,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,October,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220211.0,2022.0,October,Inflows - Capital,Capital Transfers,297.0
,,,,,,20220211.0,2022.0,October,Inflows - Capital,Federal And State,33.0
,,,,,,20220211.0,2022.0,October,Inflows - Other,Senior Colleges,264.0
,,,,,,20220211.0,2022.0,October,Inflows - Other,Holding Acct. & Other Adj.,15.0
,,,,,,20220211.0,2022.0,October,Inflows - Other,Other Sources,0.0
,,,,,,20220211.0,2022.0,October,Outflows - Current,Personal Service,4340.0
,,,,,,20220211.0,2022.0,October,Outflows - Current,Other Than Personal Service,3313.0
,,,,,,20220211.0,2022.0,October,Outflows - Current,Debt Service,-4.0
,,,,,,20220211.0,2022.0,October,Outflows - Prior,Personal Service,67.0
,,,,,,20220211.0,2022.0,October,Outflows - Prior,Other Than Personal Service,1.0
,,,,,,20220211.0,2022.0,October,Outflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,October,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220211.0,2022.0,October,Outflows - Capital,City Disbursements,1000.0
,,,,,,20220211.0,2022.0,October,Outflows - Capital,Federal and State,82.0
,,,,,,20220211.0,2022.0,October,Outflows - Other,Senior Colleges,181.0
,,,,,,20220211.0,2022.0,October,Outflows - Other,Other Uses,78.0
,,,,,,20220211.0,2022.0,October,Balance,Beginning Balance,8802.0
,,,,,,20220211.0,2022.0,October,Balance,Ending Balance,5444.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,General Property Tax,207.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,Other Taxes,1845.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,Federal Categorical Grants,255.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,State Categorical Grants,767.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,Other Categorical Grants,-14.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,Miscellaneous Revenues,482.0
,,,,,,20220211.0,2022.0,November,Inflows - Current,Inter-Fund Revenues,35.0
,,,,,,20220211.0,2022.0,November,Inflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,November,Inflows - Prior,Federal Categorical Grants,210.0
,,,,,,20220211.0,2022.0,November,Inflows - Prior,State Categorical Grants,230.0
,,,,,,20220211.0,2022.0,November,Inflows - Prior,Other Categorical Grants,2.0
,,,,,,20220211.0,2022.0,November,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,November,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220211.0,2022.0,November,Inflows - Capital,Capital Transfers,492.0
,,,,,,20220211.0,2022.0,November,Inflows - Capital,Federal And State,25.0
,,,,,,20220211.0,2022.0,November,Inflows - Other,Senior Colleges,100.0
,,,,,,20220211.0,2022.0,November,Inflows - Other,Holding Acct. & Other Adj.,-8.0
,,,,,,20220211.0,2022.0,November,Inflows - Other,Other Sources,68.0
,,,,,,20220211.0,2022.0,November,Outflows - Current,Personal Service,4287.0
,,,,,,20220211.0,2022.0,November,Outflows - Current,Other Than Personal Service,3059.0
,,,,,,20220211.0,2022.0,November,Outflows - Current,Debt Service,24.0
,,,,,,20220211.0,2022.0,November,Outflows - Prior,Personal Service,53.0
,,,,,,20220211.0,2022.0,November,Outflows - Prior,Other Than Personal Service,306.0
,,,,,,20220211.0,2022.0,November,Outflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,November,Outflows - Prior,Disallowance Reserve,-7.0
,,,,,,20220211.0,2022.0,November,Outflows - Capital,City Disbursements,528.0
,,,,,,20220211.0,2022.0,November,Outflows - Capital,Federal and State,59.0
,,,,,,20220211.0,2022.0,November,Outflows - Other,Senior Colleges,184.0
,,,,,,20220211.0,2022.0,November,Outflows - Other,Other Uses,0.0
,,,,,,20220211.0,2022.0,November,Balance,Beginning Balance,5444.0
,,,,,,20220211.0,2022.0,November,Balance,Ending Balance,1647.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,General Property Tax,5652.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,Other Taxes,4344.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,Federal Categorical Grants,489.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,State Categorical Grants,1326.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,Other Categorical Grants,217.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,Miscellaneous Revenues,473.0
,,,,,,20220211.0,2022.0,December,Inflows - Current,Inter-Fund Revenues,28.0
,,,,,,20220211.0,2022.0,December,Inflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,December,Inflows - Prior,Federal Categorical Grants,394.0
,,,,,,20220211.0,2022.0,December,Inflows - Prior,State Categorical Grants,400.0
,,,,,,20220211.0,2022.0,December,Inflows - Prior,Other Categorical Grants,2.0
,,,,,,20220211.0,2022.0,December,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,December,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220211.0,2022.0,December,Inflows - Capital,Capital Transfers,234.0
,,,,,,20220211.0,2022.0,December,Inflows - Capital,Federal And State,24.0
,,,,,,20220211.0,2022.0,December,Inflows - Other,Senior Colleges,0.0
,,,,,,20220211.0,2022.0,December,Inflows - Other,Holding Acct. & Other Adj.,2.0
,,,,,,20220211.0,2022.0,December,Inflows - Other,Other Sources,0.0
,,,,,,20220211.0,2022.0,December,Outflows - Current,Personal Service,3897.0
,,,,,,20220211.0,2022.0,December,Outflows - Current,Other Than Personal Service,3186.0
,,,,,,20220211.0,2022.0,December,Outflows - Current,Debt Service,0.0
,,,,,,20220211.0,2022.0,December,Outflows - Prior,Personal Service,96.0
,,,,,,20220211.0,2022.0,December,Outflows - Prior,Other Than Personal Service,549.0
,,,,,,20220211.0,2022.0,December,Outflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,December,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220211.0,2022.0,December,Outflows - Capital,City Disbursements,451.0
,,,,,,20220211.0,2022.0,December,Outflows - Capital,Federal and State,52.0
,,,,,,20220211.0,2022.0,December,Outflows - Other,Senior Colleges,368.0
,,,,,,20220211.0,2022.0,December,Outflows - Other,Other Uses,120.0
,,,,,,20220211.0,2022.0,December,Balance,Beginning Balance,1647.0
,,,,,,20220211.0,2022.0,December,Balance,Ending Balance,6513.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,General Property Tax,5330.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,Other Taxes,3883.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,Federal Categorical Grants,497.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,State Categorical Grants,164.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,Other Categorical Grants,-155.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,Miscellaneous Revenues,312.0
,,,,,,20220211.0,2022.0,January,Inflows - Current,Inter-Fund Revenues,137.0
,,,,,,20220211.0,2022.0,January,Inflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,January,Inflows - Prior,Federal Categorical Grants,118.0
,,,,,,20220211.0,2022.0,January,Inflows - Prior,State Categorical Grants,105.0
,,,,,,20220211.0,2022.0,January,Inflows - Prior,Other Categorical Grants,185.0
,,,,,,20220211.0,2022.0,January,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,January,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220211.0,2022.0,January,Inflows - Capital,Capital Transfers,153.0
,,,,,,20220211.0,2022.0,January,Inflows - Capital,Federal And State,59.0
,,,,,,20220211.0,2022.0,January,Inflows - Other,Senior Colleges,220.0
,,,,,,20220211.0,2022.0,January,Inflows - Other,Holding Acct. & Other Adj.,0.0
,,,,,,20220211.0,2022.0,January,Inflows - Other,Other Sources,77.0
,,,,,,20220211.0,2022.0,January,Outflows - Current,Personal Service,4437.0
,,,,,,20220211.0,2022.0,January,Outflows - Current,Other Than Personal Service,2676.0
,,,,,,20220211.0,2022.0,January,Outflows - Current,Debt Service,620.0
,,,,,,20220211.0,2022.0,January,Outflows - Prior,Personal Service,24.0
,,,,,,20220211.0,2022.0,January,Outflows - Prior,Other Than Personal Service,579.0
,,,,,,20220211.0,2022.0,January,Outflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,January,Outflows - Prior,Disallowance Reserve,0.0
,,,,,,20220211.0,2022.0,January,Outflows - Capital,City Disbursements,1481.0
,,,,,,20220211.0,2022.0,January,Outflows - Capital,Federal and State,86.0
,,,,,,20220211.0,2022.0,January,Outflows - Other,Senior Colleges,255.0
,,,,,,20220211.0,2022.0,January,Outflows - Other,Other Uses,0.0
,,,,,,20220211.0,2022.0,January,Balance,Beginning Balance,6513.0
,,,,,,20220211.0,2022.0,January,Balance,Ending Balance,7440.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,General Property Tax,156.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,Other Taxes,1914.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,Federal Categorical Grants,495.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,State Categorical Grants,299.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,Other Categorical Grants,15.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,Unrestricted (Net Of Disall.),0.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,Miscellaneous Revenues,232.0
,,,,,,20220211.0,2022.0,February,Inflows - Current,Inter-Fund Revenues,42.0
,,,,,,20220211.0,2022.0,February,Inflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,February,Inflows - Prior,Federal Categorical Grants,116.0
,,,,,,20220211.0,2022.0,February,Inflows - Prior,State Categorical Grants,139.0
,,,,,,20220211.0,2022.0,February,Inflows - Prior,Other Categorical Grants,1.0
,,,,,,20220211.0,2022.0,February,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0
,,,,,,20220211.0,2022.0,February,Inflows - Prior,Misc. Revenue/IFA,0.0
,,,,,,20220211.0,2022.0,February,Inflows - Capital,Capital Transfers,1278.0
,,,,,,20220211.0,2022.0,February,Inflows - Capital,Federal And State,62.0
,,,,,,20220211.0,2022.0,February,Inflows - Other,Senior Colleges,0.0
,,,,,,20220211.0,2022.0,February,Inflows - Other,Holding Acct. & Other Adj.,0.0
,,,,,,20220211.0,2022.0,February,Inflows - Other,Other Sources,0.0
,,,,,,20220211.0,2022.0,February,Outflows - Current,Personal Service,3941.0
,,,,,,20220211.0,2022.0,February,Outflows - Current,Other Than Personal Service,2536.0
,,,,,,20220211.0,2022.0,February,Outflows - Current,Debt Service,13.0
,,,,,,20220211.0,2022.0,February,Outflows - Prior,Personal Service,23.0
,,,,,,20220211.0,2022.0,February,Outflows - Prior,Other Than Personal Service,291.0
,,,,,,20220211.0,2022.0,February,Outflows - Prior,Taxes,0.0
,,,,,,20220211.0,2022.0,February,Outflows - Prior,Disallowance Reserve,0.0
